City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
4,The Darjeeling,500.0,4.0,100,73,1,0,0,0,0,0,0,0,0,0
5,London Grill Co,500.0,4.0,1000,50,0,0,0,1,1,1,0,0,0,1
2,Mughal Fusions,300.0,3.9,100,38,1,1,1,0,0,0,0,0,0,0
2,Mughal Darbaar,300.0,3.7,500,40,1,1,1,0,0,0,0,0,0,0
2,Naaz Hotel,750.0,4.1,500,39,1,1,1,0,0,0,0,0,0,0
6,Amaravathi,650.0,4.2,100,53,1,0,1,0,0,0,0,0,0,0
0,Kudla Beach,400.0,3.9,20,59,1,1,1,0,0,0,0,0,1,0
0,Rolls Kitchen,200.0,4.4,500,35,0,0,0,1,0,0,0,0,0,0
1,Zyqa Restaurant,200.0,4.0,500,55,1,1,1,0,0,0,1,0,0,0
2,Mughal Dhaba,500.0,4.0,20,36,1,1,1,0,0,0,0,0,0,0
3,Spring Onion,500.0,4.3,100,39,1,0,0,0,0,0,0,0,0,0
1,Tibbs Frankie,150.0,4.3,100,29,0,0,0,0,0,0,0,1,0,0
4,Petuk,350.0,4.0,20,70,1,0,0,1,0,0,0,0,0,0
0,Shanthi Sagar Grand,200.0,4.0,100,57,0,1,1,1,0,0,0,0,1,0
1,Agrawala Sweets,250.0,4.3,100,27,0,0,0,1,0,0,0,0,0,0
2,Eagle Boys Pizza,600.0,3.7,100,56,0,0,0,1,0,0,0,0,0,0
0,Freshmenu,250.0,4.1,1000,38,1,1,1,0,1,1,1,0,0,1
1,Angaara,250.0,3.9,100,33,1,0,1,0,0,0,0,0,0,0
2,Golden Wave Restaurant,1000.0,2.9,80,56,1,1,1,0,0,0,0,0,0,1
4,Afraa Deli-Sector 1,700.0,4.3,50,67,0,0,0,1,1,0,0,0,0,1
4, Conclave At Afraa,850.0,3.9,50,75,0,0,1,0,0,0,0,0,0,1
1,Paradise Biryani,400.0,3.9,100,48,1,1,1,0,0,0,1,0,0,0
3,Delhi Kitchen,300.0,4.0,100,69,0,1,1,0,1,1,1,0,0,0
5,Sethi Restaurant,300.0,4.0,1000,63,0,1,1,0,0,0,0,0,0,0
4,Mama Mia! - Italian Ice Creams,200.0,4.7,100,34,0,0,0,0,1,1,0,0,0,0
4,Buddha Bites-Jessore Road,300.0,3.7,1000,74,1,0,0,1,0,0,0,1,0,0
2,Asia Kitchen By Mainland China,850.0,4.3,100,55,1,0,0,0,0,0,0,0,0,0
5,Wok In The Clouds,1500.0,4.5,50,72,1,1,1,0,0,0,0,0,0,1
4,Crossroad Crystal - Golpark,350.0,4.1,50,71,1,0,1,0,0,0,0,0,0,0
2,99 East,300.0,2.9,80,57,1,1,1,0,0,0,0,0,0,0
3,Saffron Multicuisine,400.0,4.5,20,68,1,1,1,0,0,0,0,0,0,0
4,Second House,500.0,2.9,80,84,1,1,1,0,0,0,1,0,0,0
4,Santa'S Fantasea,1200.0,4.3,100,80,1,0,0,0,0,0,0,0,0,0
1,Akson Restaurant,250.0,4.3,1000,53,0,1,1,0,0,0,1,0,0,0
6,Ciclo Cafe,1100.0,4.4,1000,71,0,0,0,0,0,0,0,0,0,1
5,Chawla Kitchen,500.0,3.8,500,48,1,0,1,1,0,0,0,1,0,0
1,Taste Of India,600.0,4.2,20,67,1,1,1,0,0,0,0,0,0,1
6,Ashvita Bistro,500.0,4.1,20,69,0,0,0,0,0,0,0,0,0,1
6,Gogo Momo,350.0,4.2,50,65,1,0,0,0,0,0,0,0,0,0
5,Blue Water Grille,600.0,3.9,100,68,1,1,1,1,0,0,0,0,0,1
4,Sheerazi,350.0,4.3,50,68,1,1,1,0,0,0,0,0,0,0
6,Dhabba Express,500.0,4.0,100,62,1,1,1,0,0,0,0,0,0,0
4,Royal Indian Hotel,450.0,4.3,1000,36,0,1,1,0,0,0,1,0,0,0
4,Urbans Cafe,350.0,4.2,20,46,1,0,0,0,0,0,0,0,0,1
4,New Paul Dhaba,400.0,3.9,1000,42,1,1,1,0,0,0,0,0,0,0
4,Lazzat,300.0,4.1,100,50,1,0,0,0,0,0,0,0,0,0
4,Caafe 360 Degree- Kakurgachi,500.0,3.9,100,59,1,0,0,0,0,0,0,0,0,0
0,Beijing Bites,450.0,4.2,500,33,1,0,0,0,0,0,0,0,0,0
6,Ox & Tomato,500.0,4.4,50,55,0,0,0,0,0,1,0,0,0,1
4,Subway,350.0,4.3,500,49,0,0,0,1,1,1,0,1,0,0
2,Forks And Spoons (Gourmet Chinese & Thai),200.0,4.1,100,48,1,0,0,0,1,0,0,1,0,0
2,Subway,350.0,4.4,500,29,0,0,0,1,1,1,0,1,0,0
6,Sandy'S,700.0,4.3,500,54,0,0,0,0,0,1,0,0,0,1
6,Mexicano Griller,800.0,3.9,20,64,0,0,0,0,0,0,0,0,0,1
0,Rolls On Wheels,300.0,4.3,100,38,0,0,0,1,0,0,0,0,0,0
6,Mamagoto,900.0,4.3,100,55,1,0,0,0,0,0,0,0,0,0
4,Veg Dhaba,100.0,4.0,100,58,1,1,1,0,0,0,0,0,0,0
4,Glace Patisserie,250.0,4.4,100,68,0,0,0,1,0,1,0,1,0,1
6,Bayleaf Otg (On The Go),250.0,4.4,100,55,0,1,1,0,0,0,1,0,0,0
1,Food Zone 2,300.0,4.0,500,46,1,0,0,0,0,0,0,0,0,0
1,Rayalaseema Ruchulu,450.0,4.0,500,39,0,0,1,0,0,0,1,0,1,0
2,Food Rush,550.0,4.0,500,52,1,1,1,0,0,0,0,0,0,0
6,King Sandwich,200.0,4.3,100,71,0,0,0,1,0,0,0,0,0,0
6,Sachin Ka Dhabba,500.0,4.1,50,69,1,1,1,0,0,0,0,0,0,0
3,Big Daddy'S,250.0,4.1,1000,70,0,0,0,1,1,0,0,0,0,0
4,Maa Trinayani,200.0,4.2,100,88,1,0,1,0,0,0,1,0,0,0
